"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2011-08-29,NA,3.3,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2011-08-29,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2011-08-29,NA,NA,NA,NA,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west",2011-08-29,NA,NA,NA,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2011-09-14,NA,2.7,0,0,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2011-09-14,NA,2.4,0,0,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2011-09-14,NA,8.3,2.4,0,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2011-09-14,NA,8.4,3.7,0,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2011-09-14,NA,20.9,20.6,4.9,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2011-09-14,NA,0,0,0,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2011-09-14,NA,7.6,5.6,0,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2011-09-14,NA,5.2,3.3,6,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2011-09-14,NA,8.8,5.4,0,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2011-09-14,NA,9.6,4.2,0,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2011-09-14,NA,8.9,6,2.4,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2011-09-14,NA,7,3.6,0,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2011-09-14,NA,17.9,10.8,3,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2011-09-14,NA,10.6,2.7,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2011-09-14,NA,8.6,3.9,0,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2011-09-14,NA,7.6,3.7,0,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2011-09-14,NA,3,0,0,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2011-09-14,NA,8.8,3.7,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2011-09-14,NA,18.6,22.7,3,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2011-09-14,NA,15,7.9,3.2,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2011-09-14,NA,0,0,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2011-09-14,NA,17.8,0,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2011-09-14,NA,0,2.5,0,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2011-09-14,NA,22.9,0,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2011-09-14,NA,34.96,4,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2011-09-14,NA,35,4.1,0,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2011-09-14,NA,13.1,2,0,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2011-09-14,NA,32.9,5.9,0,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2011-09-14,NA,12.8,7.5,6.8,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2011-09-14,NA,4.2,2.2,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2011-09-14,NA,3.7,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2011-09-14,NA,4.9,2.4,5.8,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2011-09-14,NA,4.2,2.6,0,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west",2011-09-14,NA,NA,NA,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2011-10-03,NA,4.5,3.7,39.1,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2011-10-03,NA,4.6,3.8,0,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2011-10-03,NA,5.8,3.8,4.1,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2011-10-03,NA,10.1,5.5,3.4,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2011-10-03,NA,13.4,11.1,2.3,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2011-10-03,NA,0,0,0,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2011-10-03,NA,4.8,2.9,0,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2011-10-03,NA,6.8,3.6,3.8,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2011-10-03,NA,0,2.1,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2011-10-03,NA,10,7.1,10.2,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2011-10-03,NA,12.7,6.8,5.5,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2011-10-03,NA,11.4,4.9,5.8,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2011-10-03,NA,10,4.9,8,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2011-10-03,NA,29.1,19.8,4.4,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2011-10-03,NA,11.8,4.5,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2011-10-03,NA,11.6,5.7,0,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2011-10-03,NA,15.6,4.7,2.8,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2011-10-03,NA,3.1,3.2,4.2,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2011-10-03,NA,5.5,4.8,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2011-10-03,NA,33.5,3.5,0,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2011-10-03,NA,12.7,10.5,0,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2011-10-03,NA,15.9,11.7,0,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2011-10-03,NA,8.1,5.7,2.2,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2011-10-03,NA,0,0,0,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2011-10-03,NA,3.9,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2011-10-03,NA,4.7,5.6,19.7,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2011-10-03,NA,23.1,3.5,2.7,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2011-10-03,NA,3,7.9,6.1,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2011-10-03,NA,23,3.1,8.1,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2011-10-03,NA,19.4,4.7,2.3,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2011-10-03,NA,21,5.4,3.7,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2011-10-03,NA,10.9,2.9,0,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2011-10-03,NA,17.3,5.8,3.2,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2011-10-03,NA,9.7,5.8,3.8,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2011-10-03,NA,3.6,2,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2011-10-03,NA,2.8,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2011-10-03,NA,3.5,5.3,7.4,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2011-10-03,NA,4.2,6.8,0,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west",2011-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2011-10-15,NA,4.4,3,9.4,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2011-10-15,NA,4.2,2.9,11.6,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2011-10-15,NA,7.3,3.6,2.7,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2011-10-15,NA,10.7,7,6.4,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2011-10-15,NA,0,0,2.9,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2011-10-15,NA,13.3,9,8.2,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2011-10-15,NA,11.4,7.4,5.3,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2011-10-15,NA,4.1,0,2.2,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2011-10-15,NA,13.6,9.5,6.9,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2011-10-15,NA,12.1,6.7,13,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2011-10-15,NA,15.2,8,11.2,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2011-10-15,NA,4.5,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west",2011-10-15,NA,NA,NA,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2011-10-31,NA,0,3.5,2.2,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2011-10-31,NA,0,3,0,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2011-10-31,NA,6.6,3.7,2.1,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2011-10-31,NA,5.5,4,0,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2011-10-31,NA,12.8,5.3,0,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2011-10-31,NA,0,0,0,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2011-10-31,NA,5,2.5,0,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2011-10-31,NA,2.7,2.1,0,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2011-10-31,NA,6.9,4.6,0,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2011-10-31,NA,8.3,5.8,0,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2011-10-31,NA,9.5,5.2,3.2,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2011-10-31,NA,6.2,5.4,0,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2011-10-31,NA,13.8,7.7,3.2,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2011-10-31,NA,3.2,0,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2011-10-31,NA,8,4.3,0,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2011-10-31,NA,7.8,3,0,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2011-10-31,NA,0,4.7,7.1,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2011-10-31,NA,9.1,4.8,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2011-10-31,NA,34.4,4.7,0,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2011-10-31,NA,11.8,7.4,0,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2011-10-31,NA,8.2,7.9,0,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2011-10-31,NA,0,0,6.1,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2011-10-31,NA,4.5,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2011-10-31,NA,0,5.9,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2011-10-31,NA,13.1,2.6,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2011-10-31,NA,12.2,2.6,0,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2011-10-31,NA,14.1,2.3,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2011-10-31,NA,12.2,2.9,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2011-10-31,NA,10.3,2,0,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2011-10-31,NA,8.6,2.5,0,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2011-10-31,NA,13,2.9,0,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2011-10-31,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2011-10-31,NA,7.3,5.6,0,NA,NA,NA,NA
